Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[5]     66.3    0.00   23.34       4         GCTM [5]
               20.35    2.98       4/6           luaD_pcall <cycle 1> [245]
                0.00    0.00       4/271946189     luaH_getshortstr [11]
                0.00    0.00       4/4           luaT_gettmbyobj [258]
-----------------------------------------------
                0.00    5.83       1/1           luaL_newstate [7]
[6]     16.6    0.00    5.83       1         lua_newstate [6]
                5.09    0.75       1/6           luaD_rawrunprotected <cycle 1> [29]
                0.00    0.00       1/40000947     l_alloc [22]
                0.00    0.00       1/1           luaS_hash [286]
-----------------------------------------------
                                                 <spontaneous>
[7]     16.6    0.00    5.83                 luaL_newstate [7]
                0.00    5.83       1/1           lua_newstate [6]
                0.00    0.00       1/1           lua_atpanic [288]
                0.00    0.00       1/1           lua_setwarnf [291]
-----------------------------------------------
                0.00    5.83       1/1           close_state [3]
[8]     16.6    0.00    5.83       1         luaD_closeprotected [8]
                5.09    0.75       1/6           luaD_rawrunprotected <cycle 1> [29]
-----------------------------------------------
                3.06    0.00 310000031/310000031     luaV_execute <cycle 1> [2]
[9]      8.7    3.06    0.00 310000031         luaD_pretailcall [9]
-----------------------------------------------
                                  16             luaD_callnoyield <cycle 1> [221]
                             306946254             luaV_execute <cycle 1> [2]
[10]     5.0    1.74    0.02 306946270         luaD_precall <cycle 1> [10]
                0.00    0.02       1/1           luaopen_package [32]
                0.00    0.00       1/1           luaopen_base [58]
                0.00    0.00       1/1           gctm [70]
                0.00    0.00       1/1           luaopen_io [71]
                0.00    0.00       1/1           luaopen_math [77]
                0.00    0.00       1/1           luaopen_string [78]
                0.00    0.00       1/1           luaopen_utf8 [82]
                0.00    0.00       1/1           luaopen_debug [83]
                0.00    0.00       1/1           luaopen_table [84]
                0.00    0.00       1/1           luaopen_os [86]
                0.00    0.00       1/1           luaopen_coroutine [85]
                0.00    0.00       3/3           str_format [101]
                0.00    0.00       3/3           luaB_print [102]
                0.00    0.00       3/3           f_gc [124]
                0.00    0.00      33/33          luaE_extendCI [132]
                0.00    0.00       2/2           luaD_reallocstack [173]
                0.00    0.00      27/31          luaD_poscall [211]
                0.00    0.00       6/6           os_clock [250]
                0.00    0.00       2/2           luaD_growstack [276]
                                   1             pmain <cycle 1> [46]
-----------------------------------------------
                0.00    0.00       4/271946189     GCTM [5]
                0.00    0.00       6/271946189     luaT_gettm [156]
                0.52    0.00 271946179/271946189     luaV_execute <cycle 1> [2]
[11]     1.5    0.52    0.00 271946189         luaH_getshortstr [11]
-----------------------------------------------
                0.00    0.00       1/142866      lua_pushstring [115]
                0.00    0.00       1/142866      lua_newuserdatauv [116]
                0.00    0.00       1/142866      luaL_getsubtable [92]
                0.00    0.00       1/142866      luaX_newstring [73]
                0.00    0.00       1/142866      luaopen_debug [83]
                0.00    0.00       1/142866      luaopen_package [32]
                0.00    0.00       1/142866      luaopen_string [78]
                0.00    0.00       1/142866      luaopen_table [84]
                0.00    0.39  142858/142866      luaV_execute <cycle 1> [2]
[12]     1.1    0.00    0.39  142866         luaC_step [12]
                0.06    0.33  857154/857155      atomic [13]
                0.00    0.00  285720/285720      markold [118]
                0.00    0.00  142866/142868      luaE_setdebt [190]
                0.00    0.00  142859/142860      finishgencycle [192]
-----------------------------------------------
                0.00    0.00       1/857155      entergen [122]
                0.06    0.33  857154/857155      luaC_step [12]
